,Item_id,Price,Street,Neighborhood,Parking,Balconies,Size,Floors,Asset_classification,Ac,Furniture,Handicapped,Immediate,Floors_text,Street_id,Rooms,Floor,Shelter,On_pillars,Elevator,Storeroom,Lat,Long,City,City_code,Date_added,Date_of_entry,Neighborhood_id,Garden_size,Home_number,Agency,Images,Text,Asset_type,Broker,Accuracy,Date,Last_update,Valid,Build_year,Year,Distance_sea,Train,Age,Neighborhood_rank,Street_rank,Gush_rank,Helka_rank,Predicted,Difference
1,malzmipg,"2,670,000 ₪",שקד,"נווה עופר, תל כביר",ללא,0.0,65.0,4.0,2.0,1.0,1.0,0.0,0.0,4.0,3010.0,3.0,1.0,0.0,1.0,0.0,0.0,32.041388,34.763504,תל אביב יפו,5000,2023-06-19 09:15:08,19/06/2023,213.0,0.0,48.0,,[],"למכירה דירת 3 חדרים משופצת מרוהטת ויפה באזור נעים ושקט עם נוף ירוק
 לקראת קבלת היתר בניה לתוספת ממ""ד מטבח/חדר ומרפסת 
ובנוסף הליך מתקדם לפינוי פינוי שיכלול תוספת על הדירה עצמה פלוס על תוספת ההיתר (עו""ד החברה הסביר שמספיק היתר גם בלי לבנות בפועל אבל לא בדקנו לגבי זה לעומק)
 3 כיווני אוויר מזרח דרום וצפון
מוצפת שמש ואוויר 

מעולה למגורים ולהשקעה
לא למתווכים תודה",דירה,False,100,2023-06-19,עודכן ב 03/07/2023,,1970,2023,4381,2664,53,28802,29703,27522,32776,2173690,496310
2,yrx4eogh,"2,290,000 ₪",רוטנשטרייך,ניר אביב,ללא,0.0,93.0,7.0,3.0,1.0,0.0,0.0,1.0,7.0,2974.0,4.0,7.0,0.0,0.0,1.0,0.0,32.046689,0.0,תל אביב יפו,5000,2023-03-06 13:24:24,06/03/2023,1650.0,0.0,30.0,עידן ישר,[],"ברחוב רוטנשטרייך 30, רחוב פנימי ושקט, המקביל לדרך הטייסים.
דירת 4 חדרים כ93 מ״ר ענקיתתת!
(קיים תשריט מדידה- כל הבניין עבר הרחבה!)
קומה 7 מתוך 7 עם מעלית. 
מסודרת ונעימה, דוד שמש, מרפסת שירות נחמדה.
 כיווני אוויר- דרום/מערב
מגרש חנייה מתחת לבית.
בניין מסודר ומטופח, עם גינה ומדשאות, כניסה עם קודן ולובי משופץ",דירה,True,90,,,,1970,2023,3490,1363,53,28818,26411,26411,24702,2329696,-39696
3,ahy43ox9,"3,650,000 ₪",החשמונאים,,1,1.0,73.0,14.0,6.0,1.0,0.0,1.0,0.0,14.0,1107.0,3.0,7.0,1.0,0.0,1.0,0.0,32.069249,0.0,תל אביב יפו,5000,2022-02-08 15:29:59,19/12/2022,1462.0,0.0,96.0,יהונתן לוי,[],"בהזדמנות נדירה! בפרויקט היוקרה GINDI TLV הממוקם במתחם השוק הסיטונאי לשעבר במרכז ת""א, חייבת להימכר! 3 חד' בת 67 מ""ר +12 מ""ר מרפסת שמש רק 3,650,000 ש""ח. שטורעם נכסים מתמחים בפרוייקט גינדי ת""א",דירה,True,80,,,,1954,2023,1308,1692,69,58990,55437,52156,55091,4006561,-356561
4,gpaliiib,"4,350,000 ₪",הזוהר,בבלי,1,1.0,75.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,839.0,3.0,3.0,0.0,0.0,1.0,0.0,32.093114,0.0,תל אביב יפו,5000,2022-11-20 16:37:58,21/11/2022,1518.0,0.0,10.0,עומרי,[],דירת 3 חדרים כ75 מר קומה 3 עם מעלית וחניה משופצת ומושכרת,דירה,True,90,,,,1970,2023,2115,1412,53,62089,68560,43956,62495,4145172,204828
5,hhvwm7jv,"4,750,000 ₪",המכבי,"לב תל אביב, לב העיר צפון",ללא,1.0,90.0,6.0,2.0,1.0,0.0,0.0,0.0,6.0,1133.0,4.0,3.0,1.0,1.0,1.0,0.0,32.071555,0.0,תל אביב יפו,5000,2023-01-09 17:32:51,לא צוין,1520.0,0.0,9.0,לי ירמיהו נכס תל אביבי,[],"למכירה בבלעדיות
ברחוב המכבי 9, 
בבניין מהמם לאחר תמ""א
דירת 4 חדרים משופצת אדריכלית
כ-90 מ""ר
 עם מעלית (שטרם הופעלה)  ומרפסת שמש שפונה לרחבה מקסימה
קומה 3, חזיתית
2 מקלחות ושירותים
ממ""ד.
פתרון חניה: ניתן לשכור חניה בחניון בצלאל ממש מול הדירה
***הדירה מושכרת לשנה וחצי הקרובות ב9500",דירה,True,90,,,,1975,2023,798,2143,48,58990,50697,56584,57205,4643683,106317
6,togbu16j,"2,690,000 ₪",מעפילי אגוז,נווה חן,ללא,1.0,90.0,3.0,2.0,1.0,1.0,0.0,0.0,3.0,2960.0,4.0,2.0,0.0,0.0,0.0,0.0,32.052397,0.0,תל אביב יפו,5000,2023-02-05 13:44:28,לא צוין,207.0,0.0,56.0,תיווך יד אליהו עסק משפחתי 48 שנות ניסיון,[],"חדש בשיווק בלעדי, הזדמנות חד פעמית!!
בשכונת נווה חן המבוקשת בצפון מעפילי אגוז 
איכלוס מיידי, *דקה לפני תחילת עבודה- תמ״א 38/1 , תתקבל דירת 5 חדרים, בשטח של כ 100 מ״ר+ מרפסת שמש כ 10 מ״ר, מעלית וממ״ד*
צפי תחילת עבודה- כחצי שנה.
דירה עורפית ושקטה במיוחד הפונה אל נוף פסטורלי וירוק
דירה עורפית ושקטה במיוחד כיווני אוויר- צפון/דרום,סלון וחדרי שינה של פעם- מרווחים במיוחד",דירה,True,90,,,,1965,2023,499,2644,58,29399,28942,28157,22597,2258218,431782
7,wujoos8t,"3,000,000 ₪",דיק,קרית שלום,ללא,1.0,55.0,2.0,5.0,1.0,0.0,1.0,1.0,2.0,2442.0,3.0,0.0,0.0,0.0,0.0,1.0,32.041833,34.778639,תל אביב יפו,5000,2023-07-05 09:21:20,06/07/2023,212.0,0.0,12.0,,[],"דירת קרקע, כניסה נפרדת, חצר גדולה מסביב לביניין, 2 מחסנים מובנים, זכויות בניה להרחבה, מיקום מעולה, דירה מוארת ולא צפופה, הדירה לפני שיפוץ כללי",דירה,False,100,2023-07-05,עודכן היום,,1949,2023,1446,3483,74,35355,19396,30551,26381,1734555,1265445
8,0p8vvmu5,"2,590,000 ₪",קורקידי,"נווה עופר, תל כביר",ללא,1.0,90.0,6.0,2.0,0.0,1.0,1.0,1.0,6.0,3012.0,4.0,3.0,1.0,1.0,1.0,0.0,32.040463,0.0,תל אביב יפו,5000,2023-01-22 23:46:52,22/01/2023,213.0,0.0,20.0,שוקי ארבוז,[],"חדש למכירה בהזדמנות.רחוב קורקידי 20.(שכונת נווה עופר המתחדשת) תל כביר -תל אביב יפו
.דירת 4 חדרים 
קומה 3 מתוך 90 מ""ר בנוי 
10 מ""ר מרפסת שמש.
ממ""ד .חניה משותפת ענקית.דירה גדולה ומרווחת שקטה מאוד בניין לקראת סיום בהליך של תמ""א 38/1. קרובה לכל  .מרכזי קניות,מוסדות חינוך,תחבורה ציבורית,בתי כנסת. הכל קרוב במרחק הליכה..
לפרטים נוספים התקשרו.שוקי ארבוז.
    """"בריזה נכסים""""",דירה,True,90,,,,1970,2023,1285,1573,53,28802,36734,27522,24950,2585071,4929
9,isy2ppkh,"4,750,000 ₪",החשמונאים,"גני שרונה, קרית הממשלה",2,1.0,102.0,48.0,6.0,1.0,0.0,1.0,1.0,48.0,1107.0,4.0,39.0,1.0,0.0,1.0,0.0,32.069249,0.0,תל אביב יפו,5000,2022-06-08 13:47:19,27/11/2022,1462.0,0.0,96.0,יעקב  שץ,[],"מחיר מציאה.... בפרויקט היוקרה גינדי LOVE הממוקם במרכז ת""א. דירה חדשה, 4 חדרים 90 מ""ר + 12 מ""ר מרפסת שמש, נוף פתוח לפארק, 2 חניות, 4,750,000 ש""ח בלבד",דירה,True,90,,,,1954,2023,1714,1779,69,58990,55437,52156,55091,5138492,-388492
10,pzibxa9j,"2,590,000 ₪",החשמונאים,"גני שרונה, קרית הממשלה",1,1.0,60.0,50.0,6.0,1.0,1.0,1.0,0.0,50.0,1107.0,2.0,13.0,1.0,0.0,1.0,1.0,32.069249,0.0,תל אביב יפו,5000,2022-01-15 14:38:55,לא צוין,1462.0,0.0,96.0,אבי,[],"דירה מדהימה! ברשותנו מבחר דירות מדהימות בגינדי ת""א והסביבה.  2 עד 6 חד' לקניה/להשכרה בהתאמה אישית. בבניינים ובמגדלים  במיקומים ובמחירים הכי שווים + נוף פנורמי לים בשכונות גני שרונה, מונטיפיורי, לב ת""א והסביבה. לתיאום סיור מקיף בנכסים שנותרו התקשרו למומחים! ובנוסף תהנו מ: חדר כושר, שומר, לובי, לאונ'ג עסקים, קאנטרי, פארק, בריכה ועוד",דירה,True,90,,,,1954,2023,884,1857,69,58990,55437,52156,55091,2817414,-227414
